epoch,revenue,broker_num,mer,fund,Rank
153,2740.100000,20,0.149596,6300000,1
154,2622.950000,20,0.149596,6300000,1
155,2652.950000,20,0.149596,6300000,1
156,2606.600000,20,0.149596,6300000,1
157,2594.250000,20,0.149596,6300000,1
158,2820.550000,20,0.149596,6300000,1
159,2772.600000,20,0.149596,6300000,1
160,2818.900000,20,0.149596,6300000,1
161,2640.700000,20,0.149596,6300000,1
162,2749.300000,20,0.149596,6300000,1
163,2612.300000,20,0.149596,6300000,1
164,2697.500000,20,0.149596,6300000,1
165,2733.300000,20,0.149596,6300000,1
166,2583.300000,20,0.149596,6300000,1
167,2757.550000,20,0.149596,6300000,1
168,2593.150000,20,0.149596,6300000,1
169,2744.850000,20,0.149596,6300000,1
170,2783.350000,20,0.149596,6300000,1
171,2812.850000,20,0.149596,6300000,1
172,2698.100000,20,0.149596,6300000,1
173,2742.800000,20,0.149596,6300000,1
174,2604.250000,20,0.149596,6300000,1
175,2620.800000,20,0.149596,6300000,1
176,2732.000000,20,0.149596,6300000,1
177,2737.700000,20,0.149596,6300000,1
178,2630.050000,20,0.149596,6300000,1
179,2755.850000,20,0.149596,6300000,1
180,2607.000000,20,0.149596,6300000,1
181,2631.800000,20,0.149596,6300000,1
182,2668.600000,20,0.149596,6300000,1
183,2740.050000,20,0.149596,6300000,1
184,2753.100000,20,0.149596,6300000,1
185,2620.900000,20,0.149596,6300000,1
186,2659.300000,20,0.149596,6300000,1
187,2757.800000,20,0.149596,6300000,1
188,2590.800000,20,0.149596,6300000,1
189,2683.600000,20,0.149596,6300000,1
190,2605.000000,20,0.149596,6300000,1
191,2792.500000,20,0.149596,6300000,1
192,2616.450000,20,0.149596,6300000,1
193,2744.300000,20,0.149596,6300000,1
194,2626.650000,20,0.149596,6300000,1
195,2614.500000,20,0.149596,6300000,1
196,2789.900000,20,0.149596,6300000,1
197,2767.600000,20,0.149596,6300000,1
198,2739.850000,20,0.149596,6300000,1
199,2801.200000,20,0.149596,6300000,1
200,2771.750000,20,0.149596,6300000,1
201,2614.950000,20,0.149596,6300000,1
202,2714.750000,20,0.149596,6300000,1
203,2769.450000,20,0.149596,6300000,1
204,2667.250000,20,0.149596,6300000,1
205,2715.050000,20,0.149596,6300000,1
206,2748.800000,20,0.149596,6300000,1
207,2674.800000,20,0.149596,6300000,1
208,2645.900000,20,0.149596,6300000,1
209,2638.750000,20,0.149596,6300000,1
210,2608.550000,20,0.149596,6300000,1
211,2775.450000,20,0.149596,6300000,1
212,2723.750000,20,0.149596,6300000,1
